hour,moisture,temp,light,ph
0,68.01357976310571,18.255121747751506,5.580825844002754,6.601051528480653
1,66.3360327993747,18.5703447297125,0.0,6.453427024642974
2,62.919241543721576,19.296194130779767,16.328901619026546,6.347612400238414
3,61.371723607548326,18.041729914185574,29.31297537843108,6.477422369951347
4,63.231537856427764,20.31538641750368,2.4443833044535914,6.448456433790755
5,61.96037504282167,20.731368819755296,0.0,6.685227818450894
6,60.8046880041344,21.9955777101439,0.0,6.538934891325613
7,59.85102931478517,21.46754008130626,102.84580157329177,6.519686123586912
8,58.600083003074474,24.705408831158888,229.81829314269783,6.341670578646311
9,57.36809520034079,25.674124905721325,360.425756384643,6.323695984463726
10,57.309293770079066,26.17430038281244,450.89934849439453,6.575499779724473
11,55.89603159512234,25.616333404475302,489.5881817726055,6.597554512712236
12,54.88740144899903,25.67169335305096,523.594326894014,6.4101792060544325
13,53.67783385606348,26.666529623469895,490.19563364548685,6.435488024539487
14,53.91248306033006,25.73464661673241,500.4586269647528,6.407960919493262
15,53.071989110209685,24.589221244373498,355.38860612398383,6.301243108539911
16,51.13000618261008,22.80395690334853,234.21483342604157,6.5743711283771225
17,49.7445326698881,22.633870545542454,147.717564905302,6.532875110965969
18,48.763812753166064,22.140442635163865,0.0,6.567312550277397
19,48.810562648878935,19.793911861084222,5.922405541291521,6.526105527217989
20,45.648434470784274,20.27641435511101,0.0,6.4710863143530055
21,44.649533587714636,19.494813560705442,37.723718024210605,6.517457781283184
22,43.767353180823704,17.197094687270067,0.0,6.400741382059681
23,43.2906964434102,20.106890384831953,0.0,6.530154734233362
24,42.98562253550562,17.99409588004434,15.345936774128079,6.385020742250564
25,42.515034867219946,17.408786731007936,28.055886218721984,6.359814893720772
26,40.50086433792928,18.597414343729902,0.0,6.592316260834195
27,39.91399719261706,18.768792351960847,0.0,6.506856297480603
28,39.30516043458968,19.26824725499098,12.410964319234703,6.483906262313694
29,37.88438619810746,20.707074606625376,16.270344347393394,6.3769135683566045
30,37.931050522323346,24.031330173015466,0.0,6.479413328290449
31,36.79371755861845,23.66073447783193,104.67050833369873,6.367954338691573
32,36.18540272525935,24.97365663758409,254.52576538997747,6.5847401432576635
33,35.9692781469414,24.256945990325097,390.8688808161689,6.547383292091179
34,35.55181795231884,24.700503805568616,417.98911339894073,6.386957194687947
35,35.268702676445145,26.193928046705473,499.404116344424,6.6896792982653945
